Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,A,0,0,0,0,34970000000.0,36660000000.0,28.28,23.53,2.23,5.45,6.83,5.62,19.89,19.35,23.2,9.08,25.43,6530000000.0,21.65,5.4,3410000000.0,1850000000.0,1260000000.0,4.14,26.9,1210000000.0,4.04,3070000000.0,59.92,2.01,17.16,1310000000.0,868750000.0,1.06,120.91,140.48,2000000.0,298710000.0,297790000.0,0.25,94.17,2630000.0,1.4,0.88,3550000.0
0,0,AA,0,0,0,0,9140000000.0,9320000000.0,12.97,4.2,,0.75,2.0,0.74,3.77,5.75,21.03,10.69,16.24,12570000000.0,67.79,14.7,3050000000.0,3290000000.0,723000000.0,3.82,168.0,1550000000.0,8.43,1820000000.0,29.12,1.62,24.83,948000000.0,1150000000.0,2.35,58.71,61.58,6980000.0,184450000.0,183530000.0,0.85,85.37,10540000.0,1.51,6.43,7860000.0
0,0,AAPL,0,0,0,0,23.03,23.03,23.03,22.32,2.46,6.09,34.02,6.12,17.76,26.41,30.93,21.69,149.27,386020000000.0,23.47,8.6,152840000000.0,130630000000.0,101930000000.0,6.15,5.8,51510000000.0,3.18,119980000000.0,178.02,0.93,4.16,116430000000.0,84380000000.0,1.2,146.35,158.31,94030000.0,16190000000.000002,16170000000.000002,0.07,59.63,120070000.0,1.3,0.74,108700000.0
0,0,ABBV,0,0,0,0,270620000000.0,336520000000.0,21.97,10.92,,4.8,16.62,5.93,13.6,22.0,35.41,8.55,83.12,56730000000.0,32.04,4.1,38880000000.0,28440000000.0,12410000000.0,6.97,26.4,7570000000.0,4.28,73650000000.0,451.44,0.81,9.22,22810000000.0,19240000000.0,0.81,149.83,136.88,7320000.0,1770000000.0,1770000000.0,0.11,70.92,13520000.0,2.19,0.77,14230000.0
0,0,ABC,0,0,0,0,31260000000.0,34750000000.0,18.22,12.87,1.43,0.14,56.8,0.15,10.4,0.75,1.27,3.5,432.36,229670000000.0,1104.34,17.4,6770000000.0,3580000000.0,1730000000.0,8.19,25.9,2960000000.0,14.14,7770000000.0,857.15,0.92,2.63,3350000000.0,2270000000.0,0.45,150.69,138.09,1610000.0,209460000.0,156010000.0,25.49,67.23,3720000.0,2.4,2.48,3440000.0
0,0,ABT,0,0,0,0,187300000000.0,196230000000.0,24.82,22.17,6.5,4.29,5.29,4.41,15.09,17.35,22.58,8.56,22.26,44510000000.0,25.13,13.8,25010000000.0,13480000000.0,7700000000.0,4.31,36.5,8160000000.0,4.66,17120000000.000002,48.06,1.85,20.22,9960000000.0,7540000000.0,0.72,111.86,121.92,5470000.0,1750000000.0,1740000000.0,0.74,75.42,14020000.0,2.69,0.82,13570000.0
0,0,ACE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ACI,0,0,0,0,15100000000.0,26230000000.0,10.52,10.09,2.01,0.19,4.99,0.36,5.39,2.25,3.65,5.99,44.82,71890000000.0,153.08,10.2,21120000000.0,4260000000.0,1280000000.0,2.78,,2920000000.0,5.75,14040000000.0,326.18,1.0,6.2,3510000000.0,2870000000.0,0.32,29.76,31.1,2800000.0,531590000.00000006,150560000.0,14.94,73.63,6810000.0,2.77,3.42,6830000.0
0,0,ACN,0,0,0,0,176990000000.0,173770000000.0,27.14,23.15,1.97,3.02,8.27,2.92,15.86,11.12,15.2,12.83,32.14,59590000000.0,94.12,21.8,16360000000.0,10040000000.0,6630000000.0,10.31,15.3,6710000000.0,10.6,3490000000.0,15.85,1.27,33.82,8189999999.999999,6170000000.0,1.24,292.09,334.03,2380000.0,632550000.0,631800000.0,0.13,77.55,3700000.0,1.67,0.59,3580000.0
0,0,ACT,0,0,0,0,3570000000.0,3870000000.0,6.09,6.16,,3.24,0.88,3.52,,53.35,72.79,8.7,14.68,1100000000.0,6.75,-6.6,748970000.0,,586180000.0,3.6,31.6,440160000.0,2.7,741000000.0,18.3,0.6,24.86,605890000.0,1080000000.0,,23.04,21.98,162840000.0,162840000.0,14630000.0,81.71,18.98,1.84,1.84,2.38,
